id,latitude,longitude
67117cab-f186-4661-badb-8821e12adee5,23.0537311,72.6302289
921ab0d2-fbdc-4e76-9c42-633694e92c71,22.9882115,72.628922
c1d4a9b9-f8cd-4ccb-b4dc-b404698fef9c,22.9678154,72.5884942
c65d6031-719e-4d5a-a65b-2ea49ba6c33c,22.9815295,72.6320314
c25c65b2-fdcf-4e09-9349-26ecb541efc5,23.0219524,72.6483595
55a42be2-9435-477c-9373-f5aa12467959,23.0246397,72.6667936
ae52648f-f8e5-43e6-b7c2-9febaa52c9bc,23.0747496,72.6560831
269dcb40-e560-4348-9667-e7d9727e7109,22.9663341,72.5573934
08bb971d-b20e-4f17-b188-a87915086468,23.0077503,72.5591392
288ec06e-0b6c-4d93-b56c-3215c4c37328,22.9830656,72.6231936
6da20742-0ba3-4d7a-8b2c-cf1deb56db86,22.9926114,72.6328259
ce7a00b6-69a7-4196-a3b7-f1246a67de84,22.992666,72.6326445
66a87154-70e8-4099-85bd-065df5646a4d,23.1092002,72.5849832
bab4203c-7590-49ad-9c39-922023845ed5,23.0806177,72.593791
3466e6c2-ce8c-4b28-8388-18ed99b552b2,23.0802031,72.594027
bbe7ad67-398b-415b-b04b-a35544686832,23.1188951,72.5822234
a6c9fa55-0697-42af-bf72-c5527800f96a,23.0060803,72.5909333
8d17a387-771b-45aa-97ce-ed36d48ba92d,23.001455,72.5997019
e9a68a7d-3fc5-4430-8454-e6b8b93f472e,23.0019494,72.60366
d02617f4-e6df-4ab3-a2f4-91351c2a01a3,22.9990369,72.6012132
fde8972e-73d2-463f-8d5f-6b022e004208,22.9999706,72.6080748
c40a333d-4b34-48b7-9797-18ad251a798b,22.9972306,72.6081601
ab600f0e-4661-4304-a31e-4eaf5e173a21,23.0000325,72.6105693
062b8bc9-3272-4b5a-8696-f262c232f9ae,22.9999044,72.6105937
c893f20e-1a88-4855-ad9a-0d0d41add4eb,23.0000048,72.6073107
fb2ad132-58ed-49af-89b9-73ad7708e006,23.0035296,72.6074131
b86e9993-9c23-43c1-aa30-67cca531cecc,22.9792482,72.5859644
08acbc4b-0edd-43b1-96fa-d87033d51f8a,22.9829931,72.585366
9be56aed-5068-4c4c-8bb3-4eef43eec0ef,22.9957653,72.5794054
b190056c-4d38-4184-b48b-67732307c037,23.0039991,72.579399
fd7ca95e-7338-4e9f-b4b5-025c3b367c6e,23.016051,72.5627144
4a038a80-1793-48b3-b5f7-42fc10e85039,23.0171413,72.5947946
c2e9b384-4770-4b5c-b499-4f60918ca974,22.9880874,72.6288487
25c98a3c-4b9b-461a-96e5-3f219f3b16d5,23.0330687,72.6030651
56032d13-8afa-4e39-ac64-138034d80cd3,23.0365183,72.6122168
cf80a5d9-3615-412e-85be-b0a71ebbf0c2,23.0276037,72.5871576
9fe047c9-3f79-414f-a2e0-6d8f95d5e9cb,23.0212466,72.5840488
